Neighborhood,licensedUnits,Equity_Fund
Armatage,396,3806
Audubon Park,595,2286
Bancroft,313,7049
Beltrami,277,2218
Bottineau,502,18338
Bryant,272,27602
Bryn Mawr,175,1790
Camden Industrial Area,1,0
Carag,2549,21919
Cedar Rside/West Bank,2397,93099
Cedar-Isles-Dean,1029,4741
Central,1169,72291
Cleveland,263,8893
Columbia,91,9951
Como,1624,12967
Cooper,317,3142
Corcoran,614,12429
Diamond Lake,228,1256
Downtown East,946,7483
Downtown West,4142,19019
East Harriet,665,16254
East Isles,1250,2517
Ecco,795,4358
Elliot Park,2596,72662
Ericsson,325,3130
Field,132,1993
Folwell,749,40960
Fulton,346,6903
Hale,139,2308
Harrison,714,31530
Hawthorne,696,53216
Hiawatha,935,8462
Holland,1221,34472
Howe,677,8212
Jordan,1073,81176
Keewaydin,168,2770
Kenny,90,3806
Kenwood,80,4741
King Field,1082,8542
Lind-Bohanon,507,48984
Linden Hills,997,3733
Logan Park,500,24666
Longfellow,1028,20156
Loring Park,4921,77140
Lowry Hill,1198,8401
Lowry Hill East,4876,19284
Lyndale,2131,53824
Lynnhurst,219,1897
Marcy-Holmes,6209,36791
Marshall Terrace,302,9163
Mckinley,396,43865
Mid City Industrial Ar,18,0
Minnehaha,326,5017
Morris Park,187,2252
Near North,769,79921
Nicollet Is/East Bank,1056,3243
Northeast Park,114,2218
Northloop,3456,9555
Northrop,265,2106
Page,38,1993
Phillips,2801,170818
Powderhorn Park,1696,66555
Prospect Pk/E River Rd,3087,3299
Regina,126,2393
Seward,2036,26834
Sheridan,1003,10655
Shingle Creek,169,2607
St Anthony East,467,27277
St Anthony West,692,7891
Standish,579,7834
Stevens Sq/Loring Hgts,2182,51129
Sumner-Glenwood,15,26683
Tangletown,478,3204
University,425,14695
Ventura Village,1674,91094
Victory,276,8493
Waite Park,209,1104
Webber-Camden,640,61860
Wenonah,609,4915
West Maka Ska,771,7044
Whittier,6423,127384
Willard-Hay,1019,71586
Windom,895,7449
Windom Park,1063,14715